codmunic;Município.x;homic 2016;pop 2016;taxa
330455;Rio de Janeiro;2267;6498837;34,88316448
292740;Salvador;1814;2938092;61,74074876
355030;São Paulo;1796;12038175;14,91920495
230440;Fortaleza;1436;2609716;55,0251445
150140;Belém;1113;1446042;76,96871875
130260;Manaus;1017;2094391;48,55826825
261160;Recife;863;1625583;53,08864574
431490;Porto Alegre;860;1481019;58,06812742
310620;Belo Horizonte;802;2513451;31,90832047
530010;Brasília;788;2977216;26,46767987
211130;São Luís;644;1082935;59,46801978
520870;Goiânia;624;1448639;43,07491376
240810;Natal;620;877662;70,64222901
410690;Curitiba;600;1893997;31,67903645
270430;Maceió;568;1021709;55,59312877
291080;Feira de Santana;530;622639;85,12155519
280030;Aracaju;491;641523;76,53661677
330490;São Gonçalo;458;1044058;43,86729473
260790;Jaboatão dos Guararapes;447;691125;64,67715681
330350;Nova Iguaçu;434;797435;54,42449855
150080;Ananindeua;432;510834;84,56758947
330170;Duque de Caxias;419;886917;47,24230114
221100;Teresina;397;847430;46,84752723
250750;João Pessoa;360;801718;44,90356958
311860;Contagem;339;653800;51,85071887
520140;Aparecida de Goiânia;328;532135;61,63849399
320500;Serra;296;494109;59,90581026
330045;Belford Roxo;287;494141;58,08058833
351880;Guarulhos;276;1337087;20,64188793
330100;Campos dos Goytacazes;272;487186;55,83083258
290570;Camaçari;268;292074;91,75756829
160030;Macapá;264;465495;56,71382077
330510;São João de Meriti;258;460541;56,02107087
310670;Betim;257;422354;60,84942963
500270;Campo Grande;257;863982;29,74599008
260410;Caruaru;240;351686;68,24269377
120040;Rio Branco;239;377057;63,38564196
510340;Cuiabá;239;585367;40,82908671
260960;Olinda;237;390144;60,74680118
293330;Vitória da Conquista;237;346069;68,48345272
150420;Marabá;234;266932;87,66277554
110020;Porto Velho;228;511219;44,59928133
520110;Anápolis;221;370875;59,58881025
230370;Caucaia;219;358164;61,14517372
240800;Mossoró;218;291937;74,67364534
230765;Maracanaú;212;223188;94,98718569
313670;Juiz de Fora;203;559636;36,27357783
330414;Queimados;195;144525;134,9247535
354990;São José dos Campos;195;695992;28,01756342
432300;Viamão;195;252872;77,11411307
291920;Lauro de Freitas;193;194641;99,15690939
330330;Niterói;189;497883;37,96072571
350950;Campinas;189;1173370;16,10745119
320520;Vila Velha;186;479664;38,777144
320130;Cariacica;185;384621;48,09929775
210530;Imperatriz;182;253873;71,689388
354780;Santo André;175;712749;24,55282294
315460;Ribeirão das Neves;173;325846;53,0925652
430510;Caxias do Sul;170;479236;35,47312806
240325;Parnamirim;169;248623;67,97440301
521250;Luziânia;167;196864;84,83013654
260290;Cabo de Santo Agostinho;165;202636;81,42679484
261070;Paulista;164;325590;50,37009736
430460;Canoas;164;342634;47,86448514
280480;Nossa Senhora do Socorro;155;179661;86,27359304
291480;Itabuna;154;220386;69,87739693
412550;São José dos Pinhais;154;302759;50,86553992
270030;Arapiraca;153;232671;65,7580876
150240;Castanhal;151;192571;78,41263742
250400;Campina Grande;150;407754;36,78688621
292530;Porto Seguro;150;147444;101,7335395
317020;Uberlândia;149;669672;22,24969836
430060;Alvorada;149;207392;71,84462274
293070;Simões Filho;145;134674;107,6674043
353440;Osasco;144;696382;20,67830587
291072;Eunápolis;142;114275;124,2616495
420910;Joinville;141;569645;24,75225799
510840;Várzea Grande;141;271339;51,96451671
230730;Juazeiro do Norte;140;268248;52,19051027
261110;Petrolina;138;337683;40,86673004
354870;São Bernardo do Campo;137;822242;16,66176138
312770;Governador Valadares;136;279665;48,62961043
411370;Londrina;136;553393;24,57566323
330250;Magé;135;236319;57,12617267
293135;Teixeira de Freitas;134;159813;83,84799735
211120;São José de Ribamar;133;176008;75,56474706
140010;Boa Vista;132;326419;40,4388225
150553;Parauapebas;129;196259;65,72946973
410580;Colombo;128;234941;54,48176351
290070;Alagoinhas;126;155362;81,10091271
170210;Araguaína;122;173112;70,47460604
291800;Jequié;122;161880;75,36446751
410830;Foz do Iguaçu;122;263915;46,22700491
330190;Itaboraí;118;230786;51,12961791
330320;Nilópolis;116;158319;73,26979074
330240;Macaé;115;239471;48,0225163
430920;Gravataí;115;273742;42,01036012
330070;Cabo Frio;114;212289;53,70038014
280290;Itabaiana;112;94393;118,6528662
355220;Sorocaba;111;652481;17,01198962
510760;Rondonópolis;111;218899;50,70831753
314330;Montes Claros;108;398288;27,11605672
150442;Marituba;106;125435;84,5059194
241200;São Gonçalo do Amarante;106;99724;106,2933697
291840;Juazeiro;106;220253;48,12647274
172100;Palmas;104;279856;37,16196901
280670;São Cristóvão;104;88118;118,0235593
251370;Santa Rita;102;135915;75,04690432
354340;Ribeirão Preto;102;674405;15,12444303
150060;Altamira;101;109938;91,86996307
290320;Barreiras;101;155519;64,94383323
410040;Almirante Tamandaré;101;114129;88,49635062
291360;Ilhéus;100;178210;56,11357387
260345;Camaragibe;97;155228;62,48872626
330227;Japeri;96;100562;95,46349516
240260;Ceará-Mirim;95;73370;129,4807142
316720;Sete Lagoas;94;234221;40,13303675
330010;Angra dos Reis;94;191504;49,0851366
330285;Mesquita;93;171020;54,37960472
410480;Cascavel;92;316226;29,09311695
431440;Pelotas;92;343651;26,77134651
520025;Águas Lindas de Goiás;90;191499;46,99763445
330200;Itaguaí;89;120855;73,64196765
