nome_uf;codmunic;Município.x;homic 2016;pop 2016;taxa 2016
BA;290070;Alagoinhas;126;155362;81,10091271
BA;290320;Barreiras;101;155519;64,94383323
BA;290570;Camaçari;268;292074;91,75756829
BA;291072;Eunápolis;142;114275;124,2616495
BA;291080;Feira de Santana;530;622639;85,12155519
BA;291360;Ilhéus;100;178210;56,11357387
BA;291480;Itabuna;154;220386;69,87739693
BA;291800;Jequié;122;161880;75,36446751
BA;291840;Juazeiro;106;220253;48,12647274
BA;291920;Lauro de Freitas;193;194641;99,15690939
BA;292530;Porto Seguro;150;147444;101,7335395
BA;292740;Salvador;1814;2938092;61,74074876
BA;293070;Simões Filho;145;134674;107,6674043
BA;293135;Teixeira de Freitas;134;159813;83,84799735
BA;293330;Vitória da Conquista;237;346069;68,48345272
